College:,Course:,Number of Students:
Emmanuel,Mod & Med Langs Tripos,5
Emmanuel,Music Tripos,2
Emmanuel,Natural Sciences Tripos,27
Emmanuel,Philosophy Tripos,1
Emmanuel,Psych & Behav Sciences Tripos,1
Emmanuel,"Theo,Relig,&Philo of Re Tripos",2
Emmanuel,Veterinary Medicine,3
Fitzwilliam,ASNC Tripos,1
Fitzwilliam,Archaeology Tripos,2
Fitzwilliam,Architecture Tripos,1
Fitzwilliam,Asian & Middle Eastern Studies,1
Fitzwilliam,Chem Eng via Engineering,1
Fitzwilliam,Chem Eng via Nat Sciences,1
Fitzwilliam,Classical Tripos,1
Fitzwilliam,Classical Tripos Four Year,3
Fitzwilliam,Computer Science Tripos,4
Fitzwilliam,Economics Tripos,9
Fitzwilliam,Education Tripos,2
Fitzwilliam,Engineering Tripos,10
Fitzwilliam,English Tripos,8
Fitzwilliam,Geographical Tripos,9
Fitzwilliam,Historical Tripos,7
Fitzwilliam,History & Politics Tripos,1
Fitzwilliam,"Hum, Soc & Pol Sciences Tripos",8
Fitzwilliam,Land Economy Tripos,5
Fitzwilliam,Law Tripos,9
Fitzwilliam,Linguistics Tripos,2
Fitzwilliam,Mathematical Tripos,8
Fitzwilliam,Medicine,10
Fitzwilliam,Mod & Med Langs Tripos,6
Fitzwilliam,Music Tripos,1
Fitzwilliam,Natural Sciences Tripos,25
Fitzwilliam,Philosophy Tripos,2
Fitzwilliam,Psych & Behav Sciences Tripos,3
Fitzwilliam,"Theo,Relig,&Philo of Re Tripos",2
Fitzwilliam,Veterinary Medicine,2
Girton,ASNC Tripos,2
Girton,Archaeology Tripos,2
Girton,Architecture Tripos,3
Girton,Asian & Middle Eastern Studies,1
Girton,Classical Tripos,4
Girton,Computer Science Tripos,4
Girton,Economics Tripos,7
Girton,Engineering Tripos,12
Girton,English Tripos,10
Girton,Geographical Tripos,8
Girton,Historical Tripos,7
Girton,History & Politics Tripos,2
Girton,History and Mod Lang Tripos,1
Girton,"Hum, Soc & Pol Sciences Tripos",4
Girton,Land Economy Tripos,2
Girton,Law Tripos,9
Girton,Mathematical Tripos,10
Girton,Medicine,9
Girton,Mod & Med Langs Tripos,7
Girton,Music Tripos,4
Girton,Natural Sciences Tripos,18
Girton,Philosophy Tripos,1
Girton,Psych & Behav Sciences Tripos,5
Girton,"Theo,Relig,&Philo of Re Tripos",2
Girton,Veterinary Medicine,8
Gonville and Caius,ASNC Tripos,2
Gonville and Caius,Archaeology Tripos,1
Gonville and Caius,Architecture Tripos,2
Gonville and Caius,Chem Eng via Nat Sciences,1
Gonville and Caius,Classical Tripos,4
Gonville and Caius,Classical Tripos Four Year,1
Gonville and Caius,Computer Science Tripos,3
Gonville and Caius,Economics Tripos,5
Gonville and Caius,Education Tripos,1
Gonville and Caius,Engineering Tripos,9
Gonville and Caius,English Tripos,8
Gonville and Caius,Geographical Tripos,3
Gonville and Caius,Historical Tripos,12
Gonville and Caius,History & Politics Tripos,3
Gonville and Caius,History and Mod Lang Tripos,1
Gonville and Caius,"Hum, Soc & Pol Sciences Tripos",9
Gonville and Caius,Land Economy Tripos,4
Gonville and Caius,Law Tripos,14
Gonville and Caius,Linguistics Tripos,3
Gonville and Caius,Mathematical Tripos,6
Gonville and Caius,Medicine,25
Gonville and Caius,Mod & Med Langs Tripos,11
Gonville and Caius,Music Tripos,4
Gonville and Caius,Natural Sciences Tripos,17
Gonville and Caius,Philosophy Tripos,2
